ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç ïƒçëäîéÆÅiÇrÅïÇoÇTÇOÇOÅj,,,,
äÓèÄì˙,äÓèÄâøäz,äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj,ï™îzã‡(ê≈à¯ëO),èÉéëéY(â≠â~)
2020/5/27,10987,10987,,992.73
2020/5/28,11191,11191,,1020.99
2020/5/29,11130,11130,,1018.96
2020/6/1,11205,11205,,1029.75
2020/6/2,11231,11231,,1034.2
2020/6/3,11443,11443,,1080.71
2020/6/4,11617,11617,,1100.2
2020/6/5,11603,11603,,1101.57
2020/6/8,11948,11948,,1136.27
2020/6/9,11938,11938,,1138.09
2020/6/10,11814,11814,,1133.7
2020/6/11,11666,11666,,1120.79
2020/6/12,10949,10949,,1054.17
2020/6/15,11151,11151,,1072.2
2020/6/16,11252,11252,,1085.69
2020/6/17,11469,11469,,1113.87
2020/6/18,11367,11367,,1109.11
2020/6/19,11391,11391,,1115.73
2020/6/22,11306,11306,,1110.18
2020/6/23,11404,11404,,1122.53
2020/6/24,11406,11406,,1126.58
2020/6/25,11169,11169,,1105.02
2020/6/26,11296,11296,,1119.7
2020/6/29,11037,11037,,1098.86
2020/6/30,11252,11252,,1123.4
2020/7/1,11465,11465,,1146.4
2020/7/2,11456,11456,,1149.34
2020/7/3,11516,11516,,1185.66
2020/7/6,11528,11528,,1186.25
2020/7/7,11672,11672,,1201.11
2020/7/8,11588,11588,,1197.92
2020/7/9,11637,11637,,1205.03
2020/7/10,11555,11555,,1200.31
2020/7/13,11645,11645,,1211.05
2020/7/14,11582,11582,,1207.64
2020/7/15,11740,11740,,1230.45
2020/7/16,11813,11813,,1238.59
2020/7/17,11803,11803,,1245.43
2020/7/20,11865,11865,,1253.72
2020/7/21,11936,11936,,1263.69
2020/7/22,11916,11916,,1267.5
2020/7/27,11646,11646,,1241.55
2020/7/28,11680,11680,,1248.98
2020/7/29,11582,11582,,1247.43
2020/7/30,11721,11721,,1266.91
2020/7/31,11626,11626,,1258.4
2020/8/3,11886,11886,,1289.36
2020/8/4,11971,11971,,1300.67
2020/8/5,11956,11956,,1336.74
2020/8/6,12020,12020,,1345.95
2020/8/7,12108,12108,,1359.06
2020/8/11,12218,12218,,1371.82
2020/8/12,12166,12166,,1368.84
2020/8/13,12354,12354,,1395.5
2020/8/14,12363,12363,,1399.84
2020/8/17,12311,12311,,1399.51
2020/8/18,12261,12261,,1401.57
2020/8/19,12218,12218,,1405.82
2020/8/20,12270,12270,,1416.52
2020/8/21,12263,12263,,1419.53
2020/8/24,12318,12318,,1430.86
2020/8/25,12468,12468,,1452.61
2020/8/26,12566,12566,,1470.94
2020/8/27,12631,12631,,1483.17
2020/8/28,12740,12740,,1499.61
2020/8/31,12669,12669,,1494.81
2020/9/1,12707,12707,,1504.5
2020/9/2,12819,12819,,1526.78
2020/9/3,13043,13043,,1601.73
2020/9/4,12579,12579,,1549.14
2020/9/7,12498,12498,,1543.66
2020/9/8,12492,12492,,1548.5
2020/9/9,12111,12111,,1501.32
2020/9/10,12382,12382,,1548.11
2020/9/11,12158,12158,,1525.14
2020/9/14,12166,12166,,1534.33
2020/9/15,12274,12274,,1551.65
2020/9/16,12297,12297,,1568.09
2020/9/17,12205,12205,,1565.36
2020/9/18,12076,12076,,1553.56
2020/9/23,11960,11960,,1544.13
2020/9/24,11713,11713,,1514.99
2020/9/25,11761,11761,,1532.46
2020/9/28,11927,11927,,1559.78
2020/9/29,12117,12117,,1590.23
2020/9/30,12113,12113,,1597.65
2020/10/1,12182,12182,,1610.94
2020/10/2,12249,12249,,1624.03
2020/10/5,12135,12135,,1659.14
2020/10/6,12361,12361,,1694.61
2020/10/7,12192,12192,,1675.03
2020/10/8,12449,12449,,1712.87
2020/10/9,12542,12542,,1728.62
2020/10/12,12615,12615,,1741.17
2020/10/13,12787,12787,,1765.73
2020/10/14,12713,12713,,1762.9
2020/10/15,12610,12610,,1747.59
2020/10/16,12602,12602,,1747.18
